[+] XUS v0x0100 | Entries: 102

--- Entries (102) ---
  [  0] XuiScene1.CardListGroup.Card1.FullOnlyGroup.XuiText1.PointSize = "23.000.000"
  [  1] XuiScene1.CardListGroup.Card1.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [  2] XuiScene1.CardListGroup.Card1.LockedGroup.XuiText1.PointSize = "35.000.000"
  [  3] XuiScene1.CardListGroup.Card1.LockedGroup.XuiText1.Text = "Bloccato"
  [  4] XuiScene1.CardListGroup.Card1.NameText.PointSize = "20.000.000"
  [  5] XuiScene1.CardListGroup.Card1.NameText.Text = "      "
  [  6] XuiScene1.CardListGroup.Card1.PlayedThroughGroup.XuiText1.PointSize = "35.000.000"
  [  7] XuiScene1.CardListGroup.Card1.PlayedThroughGroup.XuiText1.Text = "Superato"
  [  8] XuiScene1.CardListGroup.Card1.Score.PointSize = "20.000.000"
  [  9] XuiScene1.CardListGroup.Card1.Score.Text = "      "
  [ 10] XuiScene1.CardListGroup.Card1.ScoreText.PointSize = "20.000.000"
  [ 11] XuiScene1.CardListGroup.Card1.ScoreText.Text = "      "
  [ 12] XuiScene1.CardListGroup.Card2.FullOnlyGroup.XuiText1.PointSize = "23.000.000"
  [ 13] XuiScene1.CardListGroup.Card2.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 14] XuiScene1.CardListGroup.Card2.LockedGroup.XuiText1.PointSize = "35.000.000"
  [ 15] XuiScene1.CardListGroup.Card2.LockedGroup.XuiText1.Text = "Bloccato"
  [ 16] XuiScene1.CardListGroup.Card2.NameText.PointSize = "20.000.000"
  [ 17] XuiScene1.CardListGroup.Card2.NameText.Text = "      "
  [ 18] XuiScene1.CardListGroup.Card2.PlayedThroughGroup.XuiText1.PointSize = "35.000.000"
  [ 19] XuiScene1.CardListGroup.Card2.PlayedThroughGroup.XuiText1.Text = "Superato"
  [ 20] XuiScene1.CardListGroup.Card2.Score.PointSize = "20.000.000"
  [ 21] XuiScene1.CardListGroup.Card2.Score.Text = "      "
  [ 22] XuiScene1.CardListGroup.Card2.ScoreText.PointSize = "20.000.000"
  [ 23] XuiScene1.CardListGroup.Card2.ScoreText.Text = "      "
  [ 24] XuiScene1.CardListGroup.Card3.FullOnlyGroup.XuiText1.PointSize = "23.000.000"
  [ 25] XuiScene1.CardListGroup.Card3.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 26] XuiScene1.CardListGroup.Card3.LockedGroup.XuiText1.PointSize = "35.000.000"
  [ 27] XuiScene1.CardListGroup.Card3.LockedGroup.XuiText1.Text = "Bloccato"
  [ 28] XuiScene1.CardListGroup.Card3.NameText.PointSize = "20.000.000"
  [ 29] XuiScene1.CardListGroup.Card3.NameText.Text = "      "
  [ 30] XuiScene1.CardListGroup.Card3.PlayedThroughGroup.XuiText1.PointSize = "35.000.000"
  [ 31] XuiScene1.CardListGroup.Card3.PlayedThroughGroup.XuiText1.Text = "Superato"
  [ 32] XuiScene1.CardListGroup.Card3.Score.PointSize = "20.000.000"
  [ 33] XuiScene1.CardListGroup.Card3.Score.Text = "      "
  [ 34] XuiScene1.CardListGroup.Card3.ScoreText.PointSize = "20.000.000"
  [ 35] XuiScene1.CardListGroup.Card3.ScoreText.Text = "      "
  [ 36] XuiScene1.CardListGroup.Card4.FullOnlyGroup.XuiText1.PointSize = "23.000.000"
  [ 37] XuiScene1.CardListGroup.Card4.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 38] XuiScene1.CardListGroup.Card4.LockedGroup.XuiText1.PointSize = "35.000.000"
  [ 39] XuiScene1.CardListGroup.Card4.LockedGroup.XuiText1.Text = "Bloccato"
  [ 40] XuiScene1.CardListGroup.Card4.NameText.PointSize = "20.000.000"
  [ 41] XuiScene1.CardListGroup.Card4.NameText.Text = "      "
  [ 42] XuiScene1.CardListGroup.Card4.PlayedThroughGroup.XuiText1.PointSize = "35.000.000"
  [ 43] XuiScene1.CardListGroup.Card4.PlayedThroughGroup.XuiText1.Text = "Superato"
  [ 44] XuiScene1.CardListGroup.Card4.Score.PointSize = "20.000.000"
  [ 45] XuiScene1.CardListGroup.Card4.Score.Text = "      "
  [ 46] XuiScene1.CardListGroup.Card4.ScoreText.PointSize = "20.000.000"
  [ 47] XuiScene1.CardListGroup.Card4.ScoreText.Text = "      "
  [ 48] XuiScene1.CardListGroup.Card5.FullOnlyGroup.XuiText1.PointSize = "23.000.000"
  [ 49] XuiScene1.CardListGroup.Card5.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 50] XuiScene1.CardListGroup.Card5.LockedGroup.XuiText1.PointSize = "35.000.000"
  [ 51] XuiScene1.CardListGroup.Card5.LockedGroup.XuiText1.Text = "Bloccato"
  [ 52] XuiScene1.CardListGroup.Card5.NameText.PointSize = "20.000.000"
  [ 53] XuiScene1.CardListGroup.Card5.NameText.Text = "      "
  [ 54] XuiScene1.CardListGroup.Card5.PlayedThroughGroup.XuiText1.PointSize = "35.000.000"
  [ 55] XuiScene1.CardListGroup.Card5.PlayedThroughGroup.XuiText1.Text = "Superato"
  [ 56] XuiScene1.CardListGroup.Card5.Score.PointSize = "20.000.000"
  [ 57] XuiScene1.CardListGroup.Card5.Score.Text = "      "
  [ 58] XuiScene1.CardListGroup.Card5.ScoreText.PointSize = "20.000.000"
  [ 59] XuiScene1.CardListGroup.Card5.ScoreText.Text = "      "
  [ 60] XuiScene1.CardListGroup.Card6.FullOnlyGroup.XuiText1.PointSize = "23.000.000"
  [ 61] XuiScene1.CardListGroup.Card6.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 62] XuiScene1.CardListGroup.Card6.LockedGroup.XuiText1.PointSize = "35.000.000"
  [ 63] XuiScene1.CardListGroup.Card6.LockedGroup.XuiText1.Text = "Bloccato"
  [ 64] XuiScene1.CardListGroup.Card6.NameText.PointSize = "20.000.000"
  [ 65] XuiScene1.CardListGroup.Card6.NameText.Text = "      "
  [ 66] XuiScene1.CardListGroup.Card6.PlayedThroughGroup.XuiText1.PointSize = "35.000.000"
  [ 67] XuiScene1.CardListGroup.Card6.PlayedThroughGroup.XuiText1.Text = "Superato"
  [ 68] XuiScene1.CardListGroup.Card6.Score.PointSize = "20.000.000"
  [ 69] XuiScene1.CardListGroup.Card6.Score.Text = "      "
  [ 70] XuiScene1.CardListGroup.Card6.ScoreText.PointSize = "20.000.000"
