[+] XUS v0x0100 | Entries: 84

--- Entries (84) ---
  [  0] XuiScene.BackButton.PointSize = "-1.000.000"
  [  1] XuiScene.BackButton.Text = "      "
  [  2] XuiScene.ButtonInfoGroup.ButtonInfo.Text = "<div align="center">  <font color="#D7CAAD" size="27">   ..."
  [  3] XuiScene.ButtonInfoNoGhostGroup.ButtonInfo.Text = "<div align="center">  <font color="#D7CAAD" size="27">   ..."
  [  4] XuiScene.ButtonInfoNoTracksGroup.ButtonInfo.Text = "<div align="center">  <font color="#D7CAAD" size="27">   ..."
  [  5] XuiScene.InfoText.PointSize = "20.000.000"
  [  6] XuiScene.InfoText.Text = "      "
  [  7] XuiScene.NotificationGroup.NotificationHeader.Text = "<div align="center">  <font color="#EBB40F" size="28">  N..."
  [  8] XuiScene.NotificationGroup.NotificationMessage.Text = "<div align="center">  <font color="#EBB40F" size="20">  U..."
  [  9] XuiScene.PlayListGroup.PlayTrackList.PointSize = "-1.000.000"
  [ 10] XuiScene.PlayListGroup.PlayTrackList.Text = "      "
  [ 11] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 12] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 13] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 14] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 15] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 16] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 17] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 18] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 19] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 20] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 21] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 22] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 23] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 24] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 25] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 26] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 27] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 28] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 29] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 30] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 31] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 32] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 33] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 34] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 35] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 36] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 37] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000000"
  [ 38] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.PointSize = "-1.000.000"
  [ 39] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 40] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 41] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 42] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 43] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 44] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 45] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 46] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 47] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 48] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 49] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 50] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 51] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 52] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 53] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 54] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 55] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
  [ 56] XuiScene.PlayListGroup.PlayTrackList.control_ListItem.Text = "      "
