[+] XUS v0x0100 | Entries: 90

--- Entries (90) ---
  [  0] XuiScene1.CardListGroup.Card1.FullOnlyGroup.XuiText1.PointSize = "25.000.000"
  [  1] XuiScene1.CardListGroup.Card1.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [  2] XuiScene1.CardListGroup.Card1.LockedGroup.XuiText1.PointSize = "30.000000"
  [  3] XuiScene1.CardListGroup.Card1.LockedGroup.XuiText1.Text = "Bloccato"
  [  4] XuiScene1.CardListGroup.Card1.NameText.PointSize = "20.000.000"
  [  5] XuiScene1.CardListGroup.Card1.NameText.Text = "      "
  [  6] XuiScene1.CardListGroup.Card2.FullOnlyGroup.XuiText1.PointSize = "25.000.000"
  [  7] XuiScene1.CardListGroup.Card2.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [  8] XuiScene1.CardListGroup.Card2.LockedGroup.XuiText1.PointSize = "30.000000"
  [  9] XuiScene1.CardListGroup.Card2.LockedGroup.XuiText1.Text = "Bloccato"
  [ 10] XuiScene1.CardListGroup.Card2.NameText.PointSize = "20.000.000"
  [ 11] XuiScene1.CardListGroup.Card2.NameText.Text = "      "
  [ 12] XuiScene1.CardListGroup.Card3.FullOnlyGroup.XuiText1.PointSize = "25.000.000"
  [ 13] XuiScene1.CardListGroup.Card3.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 14] XuiScene1.CardListGroup.Card3.LockedGroup.XuiText1.PointSize = "30.000000"
  [ 15] XuiScene1.CardListGroup.Card3.LockedGroup.XuiText1.Text = "Bloccato"
  [ 16] XuiScene1.CardListGroup.Card3.NameText.PointSize = "20.000.000"
  [ 17] XuiScene1.CardListGroup.Card3.NameText.Text = "      "
  [ 18] XuiScene1.CardListGroup.Card4.FullOnlyGroup.XuiText1.PointSize = "25.000.000"
  [ 19] XuiScene1.CardListGroup.Card4.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 20] XuiScene1.CardListGroup.Card4.LockedGroup.XuiText1.PointSize = "30.000000"
  [ 21] XuiScene1.CardListGroup.Card4.LockedGroup.XuiText1.Text = "Bloccato"
  [ 22] XuiScene1.CardListGroup.Card4.NameText.PointSize = "20.000.000"
  [ 23] XuiScene1.CardListGroup.Card4.NameText.Text = "      "
  [ 24] XuiScene1.CardListGroup.Card5.FullOnlyGroup.XuiText1.PointSize = "25.000.000"
  [ 25] XuiScene1.CardListGroup.Card5.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 26] XuiScene1.CardListGroup.Card5.LockedGroup.XuiText1.PointSize = "30.000000"
  [ 27] XuiScene1.CardListGroup.Card5.LockedGroup.XuiText1.Text = "Bloccato"
  [ 28] XuiScene1.CardListGroup.Card5.NameText.PointSize = "20.000.000"
  [ 29] XuiScene1.CardListGroup.Card5.NameText.Text = "      "
  [ 30] XuiScene1.CardListGroup.Card6.FullOnlyGroup.XuiText1.PointSize = "25.000.000"
  [ 31] XuiScene1.CardListGroup.Card6.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 32] XuiScene1.CardListGroup.Card6.LockedGroup.XuiText1.PointSize = "30.000000"
  [ 33] XuiScene1.CardListGroup.Card6.LockedGroup.XuiText1.Text = "Bloccato"
  [ 34] XuiScene1.CardListGroup.Card6.NameText.PointSize = "20.000.000"
  [ 35] XuiScene1.CardListGroup.Card6.NameText.Text = "      "
  [ 36] XuiScene1.CardListGroup.Card7.FullOnlyGroup.XuiText1.PointSize = "25.000.000"
  [ 37] XuiScene1.CardListGroup.Card7.FullOnlyGroup.XuiText1.Text = "Sblocca gioco completo"
  [ 38] XuiScene1.CardListGroup.Card7.LockedGroup.XuiText1.PointSize = "30.000000"
  [ 39] XuiScene1.CardListGroup.Card7.LockedGroup.XuiText1.Text = "Bloccato"
  [ 40] XuiScene1.CardListGroup.Card7.NameText.PointSize = "20.000.000"
  [ 41] XuiScene1.CardListGroup.Card7.NameText.Text = "      "
  [ 42] XuiScene1.HiddenButton.PointSize = "-1.000.000"
  [ 43] XuiScene1.HiddenButton.Text = "      "
  [ 44] XuiScene1.InfoText.PointSize = "16.000.000"
  [ 45] XuiScene1.InfoText.Text = "      "
  [ 46] XuiScene1.LeaderboardGroup.NotificationText.Text = "<div align="center">  <font color="#EBB40F" size="18">   ..."
  [ 47] XuiScene1.LeaderboardGroup.ResultList.PointSize = "-1.000.000"
  [ 48] XuiScene1.LeaderboardGroup.ResultList.Text = "      "
  [ 49] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 50] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 51] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 52] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 53] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 54] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 55] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 56] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 57] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 58] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 59] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 60] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 61] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 62] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 63] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000000"
  [ 64] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.PointSize = "-1.000.000"
  [ 65] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 66] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 67] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 68] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 69] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 70] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 71] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 72] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 73] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 74] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 75] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 76] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 77] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 78] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 79] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 80] XuiScene1.LeaderboardGroup.ResultList.XuiListItem1.Text = "      "
  [ 81] XuiScene1.NoGhostButtonInfoGroup.XuiHtmlElement1.Text = "<div align="center">  <font color="#D7CAAD" size="27">   ..."
  [ 82] XuiScene1.PointSize = "-1.000.000"
  [ 83] XuiScene1.PreviewGroup.MedalsGroup.NextMedalText1.Text = "<div align="center">    <font color="#EBB40F" size="22"> ..."
  [ 84] XuiScene1.PreviewGroup.MedalsGroup.NextMedalText2.Text = "<div align="center">    <font color="#EBB40F" size="18"> ..."
  [ 85] XuiScene1.Text = "      "
  [ 86] XuiScene1.Title.Text = "<div align="center">  <font color="#D7CAAD" size="50">   ..."
  [ 87] XuiScene1.TrackImage.PointSize = "-1.000000"
  [ 88] XuiScene1.TrackImage.Text = "      "
  [ 89] XuiScene1.TutorialButtonInfoGroup.XuiHtmlElement1.Text = "<div align="center">  <font color="#D7CAAD" size="27">   ..."
