[+] XUS v0x0100 | Entries: 78

--- Entries (78) ---
  [  0] XuiScene1.BikeImage.PointSize = "-1.000000"
  [  1] XuiScene1.BikeImage.Text = "  "
  [  2] XuiScene1.BikeInfoGroup.AccelerationProgressBar.PointSize = "-1.000000"
  [  3] XuiScene1.BikeInfoGroup.AccelerationProgressBar.Text = "가속"
  [  4] XuiScene1.BikeInfoGroup.BikeDifficultyText.PointSize = "17.000000"
  [  5] XuiScene1.BikeInfoGroup.BikeDifficultyText.Text = ""
  [  6] XuiScene1.BikeInfoGroup.BikeNameText.PointSize = "20.000000"
  [  7] XuiScene1.BikeInfoGroup.BikeNameText.Text = ""
  [  8] XuiScene1.BikeInfoGroup.BrakesText.PointSize = "20.000000"
  [  9] XuiScene1.BikeInfoGroup.BrakesText.Text = "브레이크:"
  [ 10] XuiScene1.BikeInfoGroup.HandlingProgressBar.PointSize = "-1.000000"
  [ 11] XuiScene1.BikeInfoGroup.HandlingProgressBar.Text = "제어력"
  [ 12] XuiScene1.BikeInfoGroup.TopSpeedProgressBar.PointSize = "-1.000000"
  [ 13] XuiScene1.BikeInfoGroup.TopSpeedProgressBar.Text = "최고 속도"
  [ 14] XuiScene1.ButtonInfoGroup.XuiHtmlElement1.Text = "<div align="center">  <font color="#D7CAAD" size="27">   ..."
  [ 15] XuiScene1.CardListGroup.Card1.BikeNotAllowedGroup.XuiText1.PointSize = "30.000000"
  [ 16] XuiScene1.CardListGroup.Card1.BikeNotAllowedGroup.XuiText1.Text = "허용 안 됨"
  [ 17] XuiScene1.CardListGroup.Card1.FullOnlyGroup.XuiText1.PointSize = "25.000000"
  [ 18] XuiScene1.CardListGroup.Card1.FullOnlyGroup.XuiText1.Text = "정식 버전 게임 구매"
  [ 19] XuiScene1.CardListGroup.Card1.LockedGroup.XuiText1.PointSize = "35.000000"
  [ 20] XuiScene1.CardListGroup.Card1.LockedGroup.XuiText1.Text = "잠김"
  [ 21] XuiScene1.CardListGroup.Card1.NameText.PointSize = "20.000000"
  [ 22] XuiScene1.CardListGroup.Card1.NameText.Text = ""
  [ 23] XuiScene1.CardListGroup.Card2.BikeNotAllowedGroup.XuiText1.PointSize = "30.000000"
  [ 24] XuiScene1.CardListGroup.Card2.BikeNotAllowedGroup.XuiText1.Text = "허용 안 됨"
  [ 25] XuiScene1.CardListGroup.Card2.FullOnlyGroup.XuiText1.PointSize = "25.000000"
  [ 26] XuiScene1.CardListGroup.Card2.FullOnlyGroup.XuiText1.Text = "정식 버전 게임 구매"
  [ 27] XuiScene1.CardListGroup.Card2.LockedGroup.XuiText1.PointSize = "35.000000"
  [ 28] XuiScene1.CardListGroup.Card2.LockedGroup.XuiText1.Text = "잠김"
  [ 29] XuiScene1.CardListGroup.Card2.NameText.PointSize = "20.000000"
  [ 30] XuiScene1.CardListGroup.Card2.NameText.Text = ""
  [ 31] XuiScene1.CardListGroup.Card3.BikeNotAllowedGroup.XuiText1.PointSize = "30.000000"
  [ 32] XuiScene1.CardListGroup.Card3.BikeNotAllowedGroup.XuiText1.Text = "허용 안 됨"
  [ 33] XuiScene1.CardListGroup.Card3.FullOnlyGroup.XuiText1.PointSize = "25.000000"
  [ 34] XuiScene1.CardListGroup.Card3.FullOnlyGroup.XuiText1.Text = "정식 버전 게임 구매"
  [ 35] XuiScene1.CardListGroup.Card3.LockedGroup.XuiText1.PointSize = "35.000000"
  [ 36] XuiScene1.CardListGroup.Card3.LockedGroup.XuiText1.Text = "잠김"
  [ 37] XuiScene1.CardListGroup.Card3.NameText.PointSize = "20.000000"
  [ 38] XuiScene1.CardListGroup.Card3.NameText.Text = ""
  [ 39] XuiScene1.CardListGroup.Card4.BikeNotAllowedGroup.XuiText1.PointSize = "30.000000"
  [ 40] XuiScene1.CardListGroup.Card4.BikeNotAllowedGroup.XuiText1.Text = "허용 안 됨"
  [ 41] XuiScene1.CardListGroup.Card4.FullOnlyGroup.XuiText1.PointSize = "25.000000"
  [ 42] XuiScene1.CardListGroup.Card4.FullOnlyGroup.XuiText1.Text = "정식 버전 게임 구매"
  [ 43] XuiScene1.CardListGroup.Card4.LockedGroup.XuiText1.PointSize = "35.000000"
  [ 44] XuiScene1.CardListGroup.Card4.LockedGroup.XuiText1.Text = "잠김"
  [ 45] XuiScene1.CardListGroup.Card4.NameText.PointSize = "20.000000"
