[+] XUS v0x0100 | Entries: 31

--- Entries (31) ---
  [  0] XuiScene.BackButton.PointSize = "-1.000000"
  [  1] XuiScene.BackButton.Text = "返回"
  [  2] XuiScene.ButtonInfoGroup.XuiHtmlElement1.Text = "<div align="center">  <font color="#D7CAAD" size="27">   ..."
  [  3] XuiScene.InfoText.PointSize = "20.000000"
  [  4] XuiScene.InfoText.Text = ""
  [  5] XuiScene.LeaderboardTrackGroup.DifficultyText.PointSize = "22.000000"
  [  6] XuiScene.LeaderboardTrackGroup.DifficultyText.Text = "困難度"
  [  7] XuiScene.LeaderboardTrackGroup.PositionText.PointSize = "22.000000"
  [  8] XuiScene.LeaderboardTrackGroup.PositionText.Text = "你的獎牌"
  [  9] XuiScene.LeaderboardTrackGroup.TrackList.PointSize = "-1.000000"
  [ 10] XuiScene.LeaderboardTrackGroup.TrackList.Text = ""
  [ 11] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.PointSize = "-1.000000"
  [ 12] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.PointSize = "-1.000000"
  [ 13] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.PointSize = "-1.000000"
  [ 14] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.PointSize = "-1.000000"
  [ 15] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.PointSize = "-1.000000"
  [ 16] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.PointSize = "-1.000000"
  [ 17] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.Text = ""
  [ 18] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.Text = ""
  [ 19] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.Text = ""
  [ 20] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.Text = ""
  [ 21] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.Text = ""
  [ 22] XuiScene.LeaderboardTrackGroup.TrackList.XuiListItem1.Text = ""
  [ 23] XuiScene.LeaderboardTrackGroup.TrackNameText.PointSize = "22.000000"
  [ 24] XuiScene.LeaderboardTrackGroup.TrackNameText.Text = "賽道名稱"
  [ 25] XuiScene.NotificationGroup.NotificationText.PointSize = "20.000000"
  [ 26] XuiScene.NotificationGroup.NotificationText.Text = ""
  [ 27] XuiScene.PointSize = "-1.000000"
  [ 28] XuiScene.Text = ""
  [ 29] XuiScene.TitleText.PointSize = "50.000000"
  [ 30] XuiScene.TitleText.Text = "賽道分數"
