[+] XUS v0x0100 | Entries: 102

--- Entries (102) ---
  [  0] XuiScene1.CardListGroup.Card1.FullOnlyGroup.XuiText1.PointSize = "23.000000"
  [  1] XuiScene1.CardListGroup.Card1.FullOnlyGroup.XuiText1.Text = "Vollständiges Spiel freischalten"
  [  2] XuiScene1.CardListGroup.Card1.LockedGroup.XuiText1.PointSize = "35.000000"
  [  3] XuiScene1.CardListGroup.Card1.LockedGroup.XuiText1.Text = "Gesperrt"
  [  4] XuiScene1.CardListGroup.Card1.NameText.PointSize = "20.000000"
  [  5] XuiScene1.CardListGroup.Card1.NameText.Text = "      "
  [  6] XuiScene1.CardListGroup.Card1.PlayedThroughGroup.XuiText1.PointSize = "35.000000"
  [  7] XuiScene1.CardListGroup.Card1.PlayedThroughGroup.XuiText1.Text = "Absolviert"
  [  8] XuiScene1.CardListGroup.Card1.Score.PointSize = "20.000000"
  [  9] XuiScene1.CardListGroup.Card1.Score.Text = "      "
  [ 10] XuiScene1.CardListGroup.Card1.ScoreText.PointSize = "20.000000"
  [ 11] XuiScene1.CardListGroup.Card1.ScoreText.Text = "      "
  [ 12] XuiScene1.CardListGroup.Card2.FullOnlyGroup.XuiText1.PointSize = "23.000000"
  [ 13] XuiScene1.CardListGroup.Card2.FullOnlyGroup.XuiText1.Text = "Vollständiges Spiel freischalten"
  [ 14] XuiScene1.CardListGroup.Card2.LockedGroup.XuiText1.PointSize = "35.000000"
  [ 15] XuiScene1.CardListGroup.Card2.LockedGroup.XuiText1.Text = "Gesperrt"
  [ 16] XuiScene1.CardListGroup.Card2.NameText.PointSize = "20.000000"
  [ 17] XuiScene1.CardListGroup.Card2.NameText.Text = "      "
  [ 18] XuiScene1.CardListGroup.Card2.PlayedThroughGroup.XuiText1.PointSize = "35.000000"
  [ 19] XuiScene1.CardListGroup.Card2.PlayedThroughGroup.XuiText1.Text = "Absolviert"
  [ 20] XuiScene1.CardListGroup.Card2.Score.PointSize = "20.000000"
  [ 21] XuiScene1.CardListGroup.Card2.Score.Text = "      "
  [ 22] XuiScene1.CardListGroup.Card2.ScoreText.PointSize = "20.000000"
  [ 23] XuiScene1.CardListGroup.Card2.ScoreText.Text = "      "
  [ 24] XuiScene1.CardListGroup.Card3.FullOnlyGroup.XuiText1.PointSize = "23.000000"
  [ 25] XuiScene1.CardListGroup.Card3.FullOnlyGroup.XuiText1.Text = "Vollständiges Spiel freischalten"
  [ 26] XuiScene1.CardListGroup.Card3.LockedGroup.XuiText1.PointSize = "35.000000"
  [ 27] XuiScene1.CardListGroup.Card3.LockedGroup.XuiText1.Text = "Gesperrt"
  [ 28] XuiScene1.CardListGroup.Card3.NameText.PointSize = "20.000000"
  [ 29] XuiScene1.CardListGroup.Card3.NameText.Text = "      "
  [ 30] XuiScene1.CardListGroup.Card3.PlayedThroughGroup.XuiText1.PointSize = "35.000000"
  [ 31] XuiScene1.CardListGroup.Card3.PlayedThroughGroup.XuiText1.Text = "Absolviert"
  [ 32] XuiScene1.CardListGroup.Card3.Score.PointSize = "20.000000"
  [ 33] XuiScene1.CardListGroup.Card3.Score.Text = "      "
  [ 34] XuiScene1.CardListGroup.Card3.ScoreText.PointSize = "20.000000"
  [ 35] XuiScene1.CardListGroup.Card3.ScoreText.Text = "      "
  [ 36] XuiScene1.CardListGroup.Card4.FullOnlyGroup.XuiText1.PointSize = "23.000000"
  [ 37] XuiScene1.CardListGroup.Card4.FullOnlyGroup.XuiText1.Text = "Vollständiges Spiel freischalten"
  [ 38] XuiScene1.CardListGroup.Card4.LockedGroup.XuiText1.PointSize = "35.000000"
  [ 39] XuiScene1.CardListGroup.Card4.LockedGroup.XuiText1.Text = "Gesperrt"
