[+] XUS v0x0100 | Entries: 33

--- Entries (33) ---
  [  0] XuiScene.BackButton.PointSize = "-1.000.000"
  [  1] XuiScene.BackButton.Text = "Indietro"
  [  2] XuiScene.ButtonInfoGroup.XuiHtmlElement1.Text = "<div align="center">  <font color="#D7CAAD" size="27">   ..."
  [  3] XuiScene.InfoText.PointSize = "20.000.000"
  [  4] XuiScene.InfoText.Text = "      "
  [  5] XuiScene.LeaderboardChallengesGroup.ChallengeList.PointSize = "-1.000.000"
  [  6] XuiScene.LeaderboardChallengesGroup.ChallengeList.Text = "      "
  [  7] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.PointSize = "-1.000000"
  [  8] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.PointSize = "-1.000000"
  [  9] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.PointSize = "-1.000000"
  [ 10] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.PointSize = "-1.000000"
  [ 11] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.PointSize = "-1.000.000"
  [ 12] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.PointSize = "-1.000000"
  [ 13] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.Text = "      "
  [ 14] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.Text = "      "
  [ 15] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.Text = "      "
  [ 16] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.Text = "      "
  [ 17] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.Text = "      "
  [ 18] XuiScene.LeaderboardChallengesGroup.ChallengeList.XuiListItem1.Text = "      "
  [ 19] XuiScene.LeaderboardChallengesGroup.DifficultyText.PointSize = "22.000000"
  [ 20] XuiScene.LeaderboardChallengesGroup.DifficultyText.Text = "DIFFICOLTÀ"
  [ 21] XuiScene.LeaderboardChallengesGroup.PlayerNameText.PointSize = "22.000000"
  [ 22] XuiScene.LeaderboardChallengesGroup.PlayerNameText.Text = "TUA MEDAGLIA"
  [ 23] XuiScene.LeaderboardChallengesGroup.PositionText.PointSize = "22.000000"
  [ 24] XuiScene.LeaderboardChallengesGroup.PositionText.Text = "NOME DEL TORNEO"
  [ 25] XuiScene.LoadingGroup.LoadingText.PointSize = "25.000.000"
  [ 26] XuiScene.LoadingGroup.LoadingText.Text = "CARICAMENTO..."
  [ 27] XuiScene.NotificationGroup.NotificationText.PointSize = "20.000.000"
  [ 28] XuiScene.NotificationGroup.NotificationText.Text = "      "
  [ 29] XuiScene.PointSize = "-1.000.000"
  [ 30] XuiScene.Text = "      "
  [ 31] XuiScene.TitleText.PointSize = "50.000.000"
  [ 32] XuiScene.TitleText.Text = "TORNEI"
