[+] Extracted 1114 Objects and 136 Joints.

--- Objects ---
ID: 0		| Type: 1		| Pos: (-69.86, 59.80, 3.84)
ID: 1		| Type: 34		| Pos: (-49.62, 55.32, 3.90)
ID: 2		| Type: 133		| Pos: (-50.34, 51.64, 8.26)
ID: 3		| Type: 0		| Pos: (-53.06, 52.81, -2.09)
ID: 4		| Type: 211		| Pos: (-47.01, 48.24, 8.25)
ID: 5		| Type: 128		| Pos: (-49.73, 49.41, -2.11)
ID: 6		| Type: 0		| Pos: (-26.86, 38.49, 8.28)
ID: 7		| Type: 211		| Pos: (-23.25, 35.37, 8.28)
ID: 8		| Type: 128		| Pos: (-19.63, 32.27, 8.28)
ID: 9		| Type: 0		| Pos: (-15.95, 29.19, 8.28)
ID: 10		| Type: 211		| Pos: (-58.74, 55.20, 8.33)
ID: 11		| Type: 128		| Pos: (-61.33, 56.39, -2.09)
ID: 12		| Type: 0		| Pos: (-66.08, 56.39, -2.09)
ID: 13		| Type: 211		| Pos: (-54.38, 55.32, 3.90)
ID: 14		| Type: 128		| Pos: (-59.12, 55.32, 3.90)
ID: 15		| Type: 0		| Pos: (-61.36, 56.31, 3.72)
ID: 16		| Type: 211		| Pos: (-61.36, 56.31, 7.80)
ID: 17		| Type: 128		| Pos: (-66.09, 56.31, 7.80)
ID: 18		| Type: 0		| Pos: (-70.86, 56.31, 7.80)
ID: 19		| Type: 211		| Pos: (-66.14, 56.31, 3.72)
ID: 20		| Type: 128		| Pos: (-74.43, 59.65, 3.72)
ID: 21		| Type: 0		| Pos: (-36.23, 51.85, 3.88)
ID: 22		| Type: 211		| Pos: (-31.46, 49.90, 3.88)
ID: 23		| Type: 128		| Pos: (-26.65, 48.26, 3.88)
ID: 24		| Type: 0		| Pos: (-19.32, 42.87, 3.71)
ID: 25		| Type: 211		| Pos: (-15.89, 39.53, 3.71)
ID: 26		| Type: 128		| Pos: (7.21, 32.60, 3.74)
ID: 27		| Type: 0		| Pos: (24.55, 31.36, 3.59)
ID: 28		| Type: 211		| Pos: (36.96, 25.79, 3.59)
ID: 29		| Type: 128		| Pos: (42.30, 17.89, 3.59)
ID: 30		| Type: 0		| Pos: (49.81, 12.96, 3.59)
ID: 31		| Type: 211		| Pos: (54.21, 11.09, 3.59)
ID: 32		| Type: 128		| Pos: (69.49, 0.24, 3.84)
ID: 33		| Type: 0		| Pos: (74.36, 0.27, 3.84)
ID: 34		| Type: 211		| Pos: (79.13, 0.27, 3.84)
ID: 35		| Type: 128		| Pos: (83.94, 0.27, 3.84)
ID: 36		| Type: 0		| Pos: (111.61, -5.74, 3.65)
ID: 37		| Type: 211		| Pos: (124.14, -9.03, 3.66)
ID: 38		| Type: 128		| Pos: (137.03, -21.05, 3.74)
ID: 39		| Type: 0		| Pos: (141.63, -21.67, 3.74)
ID: 40		| Type: 211		| Pos: (185.76, -33.83, 3.74)
ID: 41		| Type: 128		| Pos: (242.27, -67.19, 3.63)
ID: 42		| Type: 0		| Pos: (228.72, -60.52, 3.63)
ID: 43		| Type: 211		| Pos: (258.23, -75.19, 3.77)
ID: 44		| Type: 128		| Pos: (272.30, -83.95, 3.84)
ID: 45		| Type: 0		| Pos: (280.58, -91.94, 3.87)
ID: 46		| Type: 211		| Pos: (288.82, -99.99, 3.87)
ID: 47		| Type: 128		| Pos: (296.27, -107.84, 3.66)
ID: 48		| Type: 0		| Pos: (202.46, -48.42, 3.74)
ID: 49		| Type: 211		| Pos: (193.58, -47.05, 3.74)
ID: 50		| Type: 128		| Pos: (189.00, -48.30, 3.74)
ID: 51		| Type: 0		| Pos: (206.13, -51.33, 3.73)
ID: 52		| Type: 211		| Pos: (209.64, -59.68, 3.73)
ID: 53		| Type: 128		| Pos: (209.72, -63.96, 3.69)
ID: 54		| Type: 0		| Pos: (151.14, -22.02, 3.74)
ID: 55		| Type: 211		| Pos: (165.43, -22.96, 3.74)
ID: 56		| Type: 128		| Pos: (146.36, -22.14, 3.74)
ID: 57		| Type: 0		| Pos: (160.67, -22.79, 3.74)
ID: 58		| Type: 211		| Pos: (155.87, -22.35, 3.74)
ID: 59		| Type: 128		| Pos: (170.10, -23.54, 3.74)
ID: 60		| Type: 0		| Pos: (29.25, 30.46, 3.59)
ID: 61		| Type: 211		| Pos: (39.65, 21.83, 3.59)
ID: 62		| Type: 128		| Pos: (-45.00, 54.58, 3.90)
ID: 63		| Type: 0		| Pos: (-56.77, 55.64, -2.06)
ID: 64		| Type: 211		| Pos: (-54.10, 54.46, 8.32)
ID: 65		| Type: 128		| Pos: (-38.87, 44.19, 8.32)
ID: 66		| Type: 0		| Pos: (-23.08, 45.64, 3.71)
ID: 67		| Type: 211		| Pos: (-30.77, 41.12, 8.32)
ID: 68		| Type: 128		| Pos: (3.37, 35.37, 3.82)
ID: 69		| Type: 0		| Pos: (19.83, 31.70, 3.65)
ID: 70		| Type: 211		| Pos: (33.73, 29.10, 3.64)
ID: 71		| Type: 128		| Pos: (115.71, -7.96, 3.68)
ID: 72		| Type: 0		| Pos: (123.92, -4.37, 3.71)
ID: 73		| Type: 211		| Pos: (117.29, -12.12, 3.68)
ID: 74		| Type: 128		| Pos: (115.44, -16.32, 3.68)
ID: 75		| Type: 0		| Pos: (132.47, -21.86, 3.77)
ID: 76		| Type: 211		| Pos: (182.37, -30.67, 3.77)
ID: 77		| Type: 128		| Pos: (178.03, -30.58, 3.77)
ID: 78		| Type: 0		| Pos: (238.30, -64.80, 3.67)
ID: 79		| Type: 211		| Pos: (224.15, -59.74, 3.67)
ID: 80		| Type: 128		| Pos: (220.14, -61.80, 3.67)
ID: 81		| Type: 0		| Pos: (254.26, -72.80, 3.81)
ID: 82		| Type: 211		| Pos: (268.65, -81.09, 3.87)
ID: 83		| Type: 128		| Pos: (276.93, -89.09, 3.90)
ID: 84		| Type: 0		| Pos: (285.17, -97.13, 3.90)
ID: 85		| Type: 211		| Pos: (292.67, -104.99, 3.69)
ID: 86		| Type: 128		| Pos: (187.56, -38.04, 3.75)
ID: 87		| Type: 0		| Pos: (244.90, -70.94, 3.64)
ID: 88		| Type: 211		| Pos: (232.53, -63.05, 3.64)
ID: 89		| Type: 128		| Pos: (260.85, -78.94, 3.78)
ID: 90		| Type: 0		| Pos: (274.44, -87.96, 3.85)
ID: 91		| Type: 211		| Pos: (282.67, -95.96, 3.88)
ID: 92		| Type: 128		| Pos: (290.90, -103.89, 3.88)
ID: 93		| Type: 0		| Pos: (198.22, -46.56, 3.77)
ID: 94		| Type: 211		| Pos: (208.91, -55.06, 3.77)
ID: 95		| Type: 128		| Pos: (129.72, -25.27, 3.80)
